title,overview
Toronto Raptors,"The Toronto Raptors are a Canadian professional basketball team based in Toronto. The Raptors compete in the National Basketball Association (NBA) as a member of the league's Eastern Conference Atlantic Division. They normally play their home games at Scotiabank Arena, which they share with the Toronto Maple Leafs of the National Hockey League (NHL), but they will use Amalie Arena in Tampa, Florida as their home to begin the 2020–21 season due to the COVID-19 pandemic in Toronto. The team was founded in 1995 as part of the NBA's expansion into Canada, along with the Vancouver Grizzlies. Since the 2001–02 season, the Raptors have been the only Canadian-based team in the league, as the Grizzlies relocated from Vancouver to Memphis, Tennessee."
National Basketball Association,The National Basketball Association (NBA) is a professional basketball league in North America. The league is composed of 30 teams (29 in the United States and 1 in Canada) and is one of the four major professional sports leagues in the United States and Canada. It is the premier men's professional basketball league in the world.[1]
Larry O'Brien Trophy,The Larry O'Brien NBA Championship Trophy is the championship trophy awarded annually by the National Basketball Association (NBA) to the winner of the NBA Finals. The name of the trophy was the Walter A. Brown Trophy until 1984.
Boston Celtics,"The Boston Celtics (/ˈsɛltɪks/ SEL-tiks) are an American professional basketball team based in Boston. The Celtics compete in the National Basketball Association (NBA) as a member of the league's Eastern Conference Atlantic Division. Founded in 1946 as one of the league's original eight teams, the Celtics play their home games at TD Garden, which they share with the National Hockey League (NHL)'s Boston Bruins. The Celtics are regarded as one of the most successful basketball teams in NBA history; the franchise is tied with the Los Angeles Lakers for most NBA Championships won with 17 (accounting for 23.6 percent of all NBA championships since the league's founding) and currently holds the record for the most recorded wins of any NBA team.[9][10] The Celtics are one of the two charter BAA franchises (the other is the New York Knicks) still playing in their original city."
Dallas Mavericks,"The Dallas Mavericks (often referred to as the Mavs) are an American professional basketball team based in Dallas. The Mavericks compete in the National Basketball Association (NBA) as a member of the Western Conference Southwest Division. The team plays its home games at the American Airlines Center, which it shares with the National Hockey League's Dallas Stars."
Atlanta Hawks,The Atlanta Hawks are an American professional basketball team based in Atlanta. The Hawks compete in the National Basketball Association (NBA) as a member of the league's Eastern Conference Southeast Division. The team plays its home games at State Farm Arena.
List of National Basketball Association awards,"The National Basketball Association (NBA) presents 12 annual awards to recognize its teams, players, and coaches for their accomplishments. This does not include the NBA championship trophy which is given to the winning team of the NBA Finals."
Toronto Maple Leafs,"The Toronto Maple Leafs (officially the Toronto Maple Leaf Hockey Club and often simply referred to as the Leafs) are a professional ice hockey team based in Toronto. They compete in the National Hockey League (NHL) as a member of the Atlantic Division of the Eastern Conference. The club is owned by Maple Leaf Sports & Entertainment, Ltd. and are represented by Chairman Larry Tanenbaum. The Maple Leafs' broadcasting rights are split between BCE Inc. and Rogers Communications.[3] For their first 14 seasons, the club played their home games at the Mutual Street Arena, before moving to Maple Leaf Gardens in 1931. The Maple Leafs moved to their present home, Scotiabank Arena (originally named Air Canada Centre) in February 1999."
National Hockey League,"The National Hockey League (NHL; French: Ligue nationale de hockey—LNH) is a professional ice hockey league in North America, currently comprising 31 teams: 24 in the United States and 7 in Canada. The NHL is considered to be the premier professional ice hockey league in the world,[3] and is one of the major professional sports leagues in the United States and Canada. The Stanley Cup, the oldest professional sports trophy in North America,[4] is awarded annually to the league playoff champion at the end of each season."
Edmonton Oilers,The Edmonton Oilers are a professional ice hockey team based in Edmonton. They compete in the National Hockey League (NHL) as a member of the Pacific Division of the Western Conference.
Boston Bruins,"The Boston Bruins are a professional ice hockey team based in Boston. They compete in the National Hockey League (NHL) as a member of the Atlantic Division of the Eastern Conference. The team has been in existence since 1924, making them the third-oldest active team in the NHL, and the oldest to be based in the United States."
